---- Opened the serial port /dev/ttyUSB0 ----
FSR Live: 1.37, 1.33, 1.11, 1.12, 0.99, 1.00, 1.17, 0.96, 0.84, 748.90
FSR Live: 0.41, 0.46, 0.24, 0.22, 0.21, 0.19, 0.14, 0.16, 0.10, 0.29
FSR Live: 0.36, 0.32, 0.27, 0.20, 0.15, 0.22, 0.12, 0.06, 0.09, 0.29
FSR Live: 0.35, 0.27, 0.21, 0.24, 0.22, 0.24, 0.22, 0.12, 0.06, 0.20
FSR Live: 0.37, 0.16, 0.21, 0.40, 0.17, 0.16, 0.06, 0.10, 0.14, 0.20
FSR Live: 0.31, 0.20, 0.24, 0.20, 0.16, 0.20, 0.12, 0.14, 0.11, 0.32
=====================================
STABLE ��� DATA SAVED
FSR Snapshot: 0.35, 0.17, 0.22, 0.34, 0.21, 0.17, 0.17, 0.14, 0.10, 0.16
=====================================
FSR Live: 0.35, 0.17, 0.22, 0.34, 0.21, 0.17, 0.17, 0.14, 0.10, 0.16
FSR Live: 0.29, 0.24, 0.20, 3.94, 0.15, 0.15, 0.20, 0.11, 0.10, 0.26
FSR Live: 0.27, 0.25, 0.15, 0.35, 0.19, 0.20, 0.09, 0.21, 0.08, 0.17
FSR Live: 0.34, 0.36, 0.22, 0.35, 0.11, 0.22, 0.16, 0.15, 0.10, 0.22
FSR Live: 0.22, 0.27, 0.25, 0.20, 0.21, 0.09, 0.09, 0.12, 0.12, 0.25
FSR Live: 0.16, 0.24, 0.17, 1.36, 0.12, 0.10, 0.14, 0.12, 0.05, 0.22
FSR Live: 0.25, 0.21, 0.27, 0.27, 0.11, 0.24, 0.11, 0.20, 0.11, 0.12
FSR Live: 0.46, 0.55, 253.18, 0.69, 0.49, 0.39, 0.49, 0.45, 0.41, 0.55
FSR Live: 0.24, 0.26, 5.15, 0.25, 0.16, 0.16, 0.15, 0.10, 0.08, 0.15
FSR Live: 0.15, 0.31, 5.60, 0.21, 0.12, 0.12, 0.10, 0.16, 0.03, 0.12
FSR Live: 0.12, 0.26, 5.63, 0.27, 0.11, 0.15, 0.05, 0.12, 0.10, 0.17
FSR Live: 0.26, 0.36, 2.38, 0.30, 0.14, 0.20, 0.12, 0.15, 0.11, 0.20
FSR Live: 0.34, 0.29, 0.30, 0.24, 0.26, 0.21, 0.14, 0.15, 0.10, 0.19
=====================================
STABLE ��� DATA SAVED
FSR Snapshot: 0.37, 0.24, 0.26, 0.17, 0.25, 0.19, 0.14, 0.14, 0.08, 0.25
=====================================
FSR Live: 0.37, 0.24, 0.26, 0.17, 0.25, 0.19, 0.14, 0.14, 0.08, 0.25
FSR Live: 0.47, 0.24, 0.22, 0.22, 0.26, 0.11, 0.21, 0.15, 0.11, 0.21
FSR Live: 0.43, 0.30, 0.22, 0.22, 0.25, 0.17, 0.11, 0.19, 0.14, 0.21
FSR Live: 0.32, 0.31, 0.21, 0.19, 0.25, 0.11, 0.24, 0.17, 0.11, 0.20
FSR Live: 0.32, 0.35, 0.21, 0.26, 0.20, 0.24, 0.14, 0.17, 0.10, 0.22
FSR Live: 0.35, 0.31, 0.20, 0.17, 0.20, 0.15, 0.17, 0.14, 0.14, 0.27
FSR Live: 0.34, 0.29, 0.17, 0.20, 0.17, 0.14, 0.21, 0.14, 0.09, 0.25
FSR Live: 0.40, 0.19, 0.22, 0.24, 0.21, 0.20, 0.16, 0.15, 0.10, 0.17
FSR Live: 0.29, 0.27, 0.34, 0.20, 0.19, 0.21, 0.11, 0.12, 0.08, 0.16
---- Closed serial port /dev/ttyUSB0 due to disconnection from the machine ----
